,Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,Pose - Legs,concept:name,org:resource,case:concept:name,time:timestamp
1519271,Push,Packing/sorting area,_,Storage,Unpacking,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-09 19:00:35.500
1533564,Push,Path,Path (Office),Storage,Storing _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-09 20:59:42.000
1533702,Push,Cross aisle path,3-4,Storage,Storing _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:00:51.000
1534070,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 21:03:55.000
1534345,Standing,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:06:12.500
1534522,Walking,Aisle path,1 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 21:07:41.000
1535457,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:15:28.500
1535980,Walking,Aisle path,1 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 21:19:50.000
1537452,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:32:06.000
1537644,Standing,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 21:33:42.000
1537928,Standing,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:36:04.000
1537982,Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 21:36:31.000
1538575,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:41:27.500
1538625,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 21:41:52.500
1538745,Standing,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:42:52.500
1539112,Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 21:45:56.000
1539347,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:47:53.500
1539678,Walking,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 21:50:39.000
1539909,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:52:34.500
1539959,Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 21:52:59.500
1540167,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:54:43.500
1540217,Handling centred,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-09 21:55:08.500
1540565,Handling upwards,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:58:02.500
1540724,Handling upwards,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 21:59:22.000
1540781,Handling upwards,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 21:59:50.500
1540838,Handling centred,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,,Aisle path,Subject_01,Case_01,2025-01-09 22:00:19.000
1541043,Handling centred,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:02:01.500
1541328,Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 22:04:24.000
1541573,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:06:26.500
1541767,Standing,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 22:08:03.500
1541809,Standing,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:08:24.500
1543673,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 22:23:56.500
1544079,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:27:19.500
1544195,Standing,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 22:28:17.500
1544297,Standing,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:29:08.500
1544776,Standing,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 22:33:08.000
1544964,Standing,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:34:42.000
1545211,Handling upwards,Base,_,Storage,Storing _ Travel time,Move to next position,,Base,Subject_01,Case_01,2025-01-09 22:36:45.500
1545315,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:37:37.500
1545390,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 22:38:15.000
1545901,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 22:42:30.500
1546615,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 22:48:27.500
1548139,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:01:09.500
1548364,Standing,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 23:03:02.000
1548660,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:05:30.000
1548763,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:06:21.500
1548894,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:07:27.000
1548999,Handling centred,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-09 23:08:19.500
1549216,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:10:08.000
1549378,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:11:29.000
1550043,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:17:01.500
1550684,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-09 23:22:22.000
1550874,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:23:57.000
1550941,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:24:30.500
1551322,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:27:41.000
1551763,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:31:21.500
1551947,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:32:53.500
1552626,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:38:33.000
1552853,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:40:26.500
1553285,Walking,Aisle path,5 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:44:02.500
1553496,Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:45:48.000
1553607,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-09 23:46:43.500
1553724,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-09 23:47:42.000
1554104,Push,Path,Path (Office),Storage,Unpacking,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-09 23:50:52.000
1554245,Push,Packing/sorting area,_,Storage,Unpacking,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-09 23:52:02.500
1555852,Push,Path,Path (Office),Storage,Finalizing order,Returning empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-10 00:05:26.000
1556029,Handling centred,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-10 00:06:54.500
1556659,Push,Path,Path (Cardboard box area),Storage,Finalizing order,Returning cart,,Path,Subject_01,Case_01,2025-01-10 00:12:09.500
1556800,Push,Cart area,_,Storage,Finalizing order,Returning cart,,Cart area,Subject_01,Case_01,2025-01-10 00:13:20.000
1557091,Walking,Path,Path (Cart area),Storage,Finalizing order,Transition,,Path,Subject_01,Case_01,2025-01-10 00:15:45.500
1557327,Walking,Office,_,Storage,Finalizing order,Returning hardware,,Office,Subject_01,Case_01,2025-01-10 00:17:43.500
1558694,Handling centred,Path,Path (Office),Retrieval,Preparing order,Transition,,Path,Subject_01,Case_01,2025-01-10 00:29:07.000
1558927,Walking,Cart area,_,Retrieval,Preparing order,Collecting cart,,Cart area,Subject_01,Case_01,2025-01-10 00:31:03.500
1559177,Push,Path,Path (Cart area),Retrieval,Preparing order,Collecting empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-10 00:33:08.500
1559330,Push,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-10 00:34:25.000
1559941,Push,Path,Path (Cardboard box area),Retrieval,Picking _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-10 00:39:30.500
1560173,Push,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-10 00:41:26.500
1560387,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 00:43:13.500
1560443,Walking,Cross aisle path,1-2,Retrieval,,Transition,,Cross aisle path,Subject_01,Case_01,2025-01-10 00:43:41.500
1560558,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 00:44:39.000
1560590,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-10 00:44:55.000
1560890,Walking,Path,Path (Office),Retrieval,,Transition,,Path,Subject_01,Case_01,2025-01-10 00:47:25.000
1560924,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-10 00:47:42.000
1560965,Walking,Base,_,Retrieval,Special processes,Report and clarify the incident,,Base,Subject_01,Case_01,2025-01-10 00:48:02.500
1560981,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 00:48:10.500
1561048,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 00:48:44.000
1562376,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 00:59:48.000
1562449,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 01:00:24.500
1562541,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:01:10.500
1562781,Walking,Base,_,Retrieval,Picking _ Travel time,Move to next position,,Base,Subject_01,Case_01,2025-01-10 01:03:10.500
1562795,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:03:17.500
1562859,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 01:03:49.500
1564021,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:13:30.500
1564065,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 01:13:52.500
1564281,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:15:40.500
1564358,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 01:16:19.000
1564767,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:19:43.500
1564813,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 01:20:06.500
1564932,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:21:06.000
1564985,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 01:21:32.500
1565470,Walking,Cross aisle path,2-3,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:25:35.000
1565546,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 01:26:13.000
1565575,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-10 01:26:27.500
1566318,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 01:32:39.000
1566334,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:32:47.000
1566415,Walking,Aisle path,2 front,Retrieval,Special processes,Report and clarify the incident,,Aisle path,Subject_01,Case_01,2025-01-10 01:33:27.500
1567210,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:40:05.000
1567255,Handling upwards,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 01:40:27.500
1567527,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:42:43.500
1567607,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 01:43:23.500
1568153,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:47:56.500
1568264,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 01:48:52.000
1568354,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 01:49:37.000
1568464,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 01:50:32.000
1569682,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:00:41.000
1569716,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 02:00:58.000
1569806,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:01:43.000
1569909,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:02:34.500
1570514,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:07:37.000
1570632,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 02:08:36.000
1570692,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:09:06.000
1570841,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:10:20.500
1571602,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:16:41.000
1571721,Walking,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 02:17:40.500
1571813,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:18:26.500
1571932,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:19:26.000
1572365,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:23:02.500
1572450,Walking,Base,_,Retrieval,Picking _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-10 02:23:45.000
1572533,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:24:26.500
1572625,Walking,Aisle path,3 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:25:12.500
1573127,Walking,Cross aisle path,2-3,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:29:23.500
1573462,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:32:11.000
1573955,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:36:17.500
1574258,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:38:49.000
1574830,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:43:35.000
1575156,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:46:18.000
1575752,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:51:16.000
1575935,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 02:52:47.500
1576083,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:54:01.500
1576270,Walking,Aisle path,4 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 02:55:35.000
1576765,Walking,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 02:59:42.500
1576917,Walking,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 03:00:58.500
1577358,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 03:04:39.000
1577553,Walking,Aisle path,5 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 03:06:16.500
1578286,Walking,Cross aisle path,4-5,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 03:12:23.000
1578500,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 03:14:10.000
1578663,Standing,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 03:15:31.500
1579147,Push,Path,Path (Office),Retrieval,Packing,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-10 03:19:33.500
1579280,Push,Packing/sorting area,_,Retrieval,Packing,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-10 03:20:40.000
1580197,Handling centred,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 03:28:18.500
1580256,Walking,Office,_,Retrieval,"Packing, Special processes",Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-10 03:28:48.000
1581252,Walking,Path,Path (Office),Retrieval,"Packing, Special processes",Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 03:37:06.000
1581296,Walking,Packing/sorting area,_,Retrieval,Packing,Print shipping label and return slip,,Packing/sorting area,Subject_01,Case_01,2025-01-10 03:37:28.000
1590069,Push,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,,Path,Subject_01,Case_01,2025-01-10 04:50:34.500
1590342,Push,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,,Issuing/receiving area,Subject_01,Case_01,2025-01-10 04:52:51.000
1591268,Push,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,,Path,Subject_01,Case_01,2025-01-10 05:00:34.000
1591604,Push,Office,_,Retrieval,Finalizing order,Returning hardware,,Office,Subject_01,Case_01,2025-01-10 05:03:22.000
1592807,Push,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-10 05:13:23.500
1593007,Push,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-10 05:15:03.500
1593508,Push,Path,Path (Cardboard box area),Retrieval,Picking _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-10 05:19:14.000
1593726,Push,Cross aisle path,3-4,Retrieval,Picking _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:21:03.000
1593999,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 05:23:19.500
1594124,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:24:22.000
1594204,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 05:25:02.000
1595194,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:33:17.000
1595238,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 05:33:39.000
1595280,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:34:00.000
1595778,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 05:38:09.000
1595801,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-10 05:38:20.500
1596026,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 05:40:13.000
1596068,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:40:34.000
1596226,Walking,Aisle path,1 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 05:41:53.000
1596748,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:46:14.000
1597050,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 05:48:45.000
1597267,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:50:33.500
1597339,Walking,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 05:51:09.500
1597704,Standing,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-10 05:54:12.000
1597957,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 05:56:18.500
1598412,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 06:00:06.000
1598581,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 06:01:30.500
1598774,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 06:03:07.000
1598838,Handling centred,Base,_,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Base,Subject_01,Case_01,2025-01-10 06:03:39.000
1598890,Handling centred,Cross aisle path,1-2,Retrieval,Picking _ Pick time,Place cardboard box/item in a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 06:04:05.000
1599184,Handling centred,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 06:06:32.000
1599209,Walking,Office,_,Retrieval,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-10 06:06:44.500
1599546,Walking,Path,Path (Office),Retrieval,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-10 06:09:33.000
1599567,Walking,Cross aisle path,3-4,Retrieval,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-10 06:09:43.500
1599758,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 06:11:19.000
1599962,Walking,Cross aisle path,1-2,Retrieval,Picking _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-10 06:13:01.000
1600238,Walking,Aisle path,2 front,Retrieval,Picking _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-10 06:15:19.000
